server_id,strictness,domain,title,description,active_month,languages,rules,total_users
0,4.866666666666666,mastodon.social,Mastodon,The original server operated by the Mastodon gGmbH non-profit,327503,['en'],"[{'id': '1', 'text': 'Sexually explicit or violent media must be marked as sensitive or with a content warning', 'hint': 'This includes content that is particularly provocative even if it may not show specific body parts, as well as dead bodies, bloody injuries, and other gore. Particularly obscene content may be prohibited entirely. Profile pictures and header images may not contain sexually explicit or violent media.'}, {'id': '2', 'text': 'No racism, sexism, homophobia, transphobia, ableism, xenophobia, or casteism.', 'hint': 'Transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited. Promotion of ""conversion therapy"" is strictly prohibited. Criticism of governments and religions is permissible unless being used as a proxy for discrimination.'}, {'id': '3', 'text': 'No incitement of violence or promotion of violent ideologies', 'hint': 'Calling for people or groups to be assassinated, murdered, or attacked physically is strictly prohibited. Support for violent groups or events is prohibited.'}, {'id': '4', 'text': 'No harassment, block evasion, dogpiling, or doxxing of others', 'hint': 'Repeat attempts to communicate with users who have blocked you or creation of accounts solely to harass or insult individuals is strictly prohibited. Coordinated activity to attack other users is prohibited. Posting of private personal information about others is prohibited.'}, {'id': '7', 'text': 'Do not share information widely-known to be false and misleading', 'hint': 'False and misleading information and links from low-quality sources may not be posted, especially if they are likely to mislead or confuse others or endanger their safety.'}, {'id': '1008', 'text': 'Content created by others must be attributed, and use of generative AI must be disclosed', 'hint': 'Content created by others must clearly provide a reference to the author, creator, or source. For adult content, this should include performers. Accounts may not solely post AI-generated content.'}]",2711879
1,7.5,mstdn.social,Mastodon 🐘,A general-purpose Mastodon server with a 500 character limit. All languages are welcome.,14546,['en'],"[{'id': '2', 'text': 'Sexually explicit or violent media must be marked as sensitive when posting.', 'hint': ''}, {'id': '3', 'text': 'No spam or advertising.', 'hint': ''}, {'id': '4', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', 'hint': ''}, {'id': '5', 'text': 'No incitement of violence or promotion of violent ideologies.', 'hint': ''}, {'id': '6', 'text': 'No harassment, dogpiling or doxxing of other users.', 'hint': ''}, {'id': '7', 'text': 'No illegal content.', 'hint': ''}, {'id': '11', 'text': 'No spreading of fake news or misinformation', 'hint': ''}, {'id': '12', 'text': 'Content created by others must be attributed, and use of AI must be disclosed. Profiles that only post AI-generated content will not be tolerated.', 'hint': ''}]",260323
2,10.166666666666666,infosec.exchange,Infosec Exchange,"A Mastodon instance for info/cyber security-minded people.
",13319,['en'],"[{'id': '1', 'text': 'Do unto others as you think they would want done to them.  ', 'hint': ''}, {'id': '2', 'text': 'Mark sensitive content with a content warning.  ', 'hint': ''}, {'id': '3', 'text': 'Gratuitous obscenity that serves no practical benefit to a discussion is not permitted.', 'hint': ''}, {'id': '4', 'text': 'Illegal content such as child pornography, unsurprisingly, is not permitted', 'hint': ''}, {'id': '5', 'text': 'Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services. ', 'hint': ''}, {'id': '6', 'text': 'Hate speech and abusive or threatening behavior is not permitted, specifically that which directed at any gender, nationality, religion, race, age, pizza topping preference, or sexual identity.  One can hate on systemd all day long here.', 'hint': ''}, {'id': '7', 'text': ""Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior.  Each of us has a limited amount of time in this world.  Don't be a jerk.  "", 'hint': ''}, {'id': '8', 'text': 'Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.  ', 'hint': ''}, {'id': '9', 'text': 'You may not impersonate a person or brand without a clear indication the account is unofficial and/or a parody. Parody accounts are permitted, as are legitimate brand accounts. ', 'hint': ''}, {'id': '11', 'text': 'No attacks against (or from) the instance.\r\n\r\nYou may not do anything which may impact confidentiality, integrity or availability of Infosec.Exchange, the users of the service or their data.\r\nFor more details see https://wiki.infosec.exchange/rules/start', 'hint': ''}, {'id': '12', 'text': 'No doxing (aka doxxing) or disclosing personal information without consent and as a means of harassing or causing others to harass another person.', 'hint': ''}, {'id': '13', 'text': 'No harassment in the form of continued engagement after a person has requested contact to stop', 'hint': ''}, {'id': '14', 'text': 'Automated posting:\r\n- accounts that post >50% using automation must be labeled as a “bot” in the user profile to help provide a visual indicator to visitors\r\n- automated posts must be limited to one post per hour/24 per day with post visibility set to “public”. There is no limit on “unlisted” posts.', 'hint': ''}, {'id': '15', 'text': 'Soliciting or inciting violence or harm against a person or segment of people is not permitted. ', 'hint': ''}]",75725
3,8.238095238095237,mas.to,mas.to,"Hello! mas.to is a fast, up-to-date and fun Mastodon server.",11889,['en'],"[{'id': '9', 'text': ""No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia (including targeted misgendering, deadnaming, or promotion of so-called 'conversion therapy')."", 'hint': ''}, {'id': '10', 'text': 'No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.', 'hint': ''}, {'id': '17', 'text': 'No harassment of other users on this or other servers.', 'hint': ''}, {'id': '18', 'text': 'No content illegal in the following countries: United Kingdom, Germany', 'hint': ''}, {'id': '19', 'text': 'No incitement of violence or promotion of violent ideologies.', 'hint': ''}, {'id': '20', 'text': 'No disinformation regarding public health issues or political/military campaigns.', 'hint': ''}, {'id': '21', 'text': 'No spam. This includes commercial advertising, promotion of services, and SEO.', 'hint': ''}, {'id': '22', 'text': 'No impersonation of other individuals, public figures or organisations, unless clearly marked as a parody.', 'hint': ''}, {'id': '23', 'text': 'All automated (bot) accounts must enable the bot flag in their account preferences, respect #nobot markers, and post as unlisted unless making less than one post per hour.', 'hint': ''}]",183608
4,15.166666666666666,mastodon.world,Mastodon,Generic Mastodon server for anyone to use.,9472,['en'],"[{'id': '16', 'text': 'No illegal content, e.g. child pornography, solicitation of illegal services, etc…', 'hint': ''}, {'id': '17', 'text': 'No posts or links to content supporting, featuring, or promoting hate groups, terrorism, mass violence or calls to violence.', 'hint': ''}, {'id': '18', 'text': 'No posts or comments supporting or promoting QAnon related content or similarly disproven conspiracy theories. Moderators have sole discretion to decide if a post violates this rule. Birds are real. The Earth is round. Get over it.', 'hint': ''}, {'id': '19', 'text': 'No posts or links featuring sexualized depictions of minors, whether photographic, written, drawn, anthropomorphic or animated.', 'hint': ''}, {'id': '20', 'text': 'No pornography featuring depictions of rape or non-consensual violence.', 'hint': ''}, {'id': '21', 'text': 'A Content Warning must always be used when posting all other pornographic, erotic or NSFW content, whether photographic, written, drawn or animated.', 'hint': ''}, {'id': '22', 'text': 'No racism.', 'hint': ''}, {'id': '23', 'text': 'No visual content depicting executions, murder, suicide, dismemberment, visible innards, excessive gore, or charred bodies. All other violent imagery requires a Content Warning.', 'hint': ''}, {'id': '24', 'text': 'No visual content depicting animal abuse. All other posts related to animal abuse require a Content Warning.', 'hint': ''}, {'id': '25', 'text': 'No posting of malicious links.', 'hint': ''}, {'id': '26', 'text': 'No Spam (see General Guidance below).', 'hint': ''}, {'id': '27', 'text': 'No threats, bullying or attacks on an individual or group.', 'hint': ''}, {'id': '28', 'text': 'No encouragement or promotion of self-harm.', 'hint': ''}, {'id': '29', 'text': 'No accounts that impersonate anyone else unless clearly marked as such for the purpose of parody.', 'hint': ''}, {'id': '30', 'text': 'No Hate Speech. Hate speech is defined as derogatory posts or links targeting any individual or group based on race, mental or physical disability, religion, gender identity, sex, nationality, age, class or sexual orientation.', 'hint': ''}, {'id': '31', 'text': 'No “shitposting” - while humorous posts are allowed, and actually encouraged, there is no place for “shitposting” here.', 'hint': ''}, {'id': '32', 'text': 'No targeted misgendering, deadnaming, or promotion of so-called ""conversion therapy"".', 'hint': ''}, {'id': '33', 'text': 'Banner and Avatar images must comply with the other rules, so no NSFW images etc', 'hint': ''}]",191710
6,11.0,hachyderm.io,Hachyderm.io,"Hachyderm is a safe space, LGBTQIA+ and BLM, primarily comprised of tech industry professionals world wide. Note that many non-user account types have restrictions - please see our About page.",8937,['en'],"[{'id': '1', 'text': ""Don't be a dick."", 'hint': ''}, {'id': '2', 'text': 'No hacking.', 'hint': ''}, {'id': '3', 'text': 'No violence.', 'hint': ''}, {'id': '4', 'text': 'No fascism. ', 'hint': ''}, {'id': '5', 'text': 'No colonialism.', 'hint': ''}, {'id': '6', 'text': 'No white supremacy.', 'hint': ''}, {'id': '7', 'text': 'No religious extremism. ', 'hint': ''}, {'id': '9', 'text': 'No nationalism.', 'hint': ''}, {'id': '11', 'text': 'No racism.', 'hint': ''}, {'id': '12', 'text': 'No homophobia.', 'hint': ''}, {'id': '13', 'text': 'No transphobia.', 'hint': ''}, {'id': '14', 'text': 'Safe Space: LGTBQIA+', 'hint': ''}, {'id': '15', 'text': 'Safe Space: neurodivergent (ADHD, Autism, etc.) ', 'hint': ''}]",56318
7,8.0,social.vivaldi.net,Vivaldi Social,Vivaldi Social is part of the Mastodon network and is hosted in Iceland by the makers of Vivaldi Browser. Everyone is welcome to join.,8719,['en'],"[{'id': '1', 'text': 'No sexually explicit or violent content', 'hint': ''}, {'id': '2', 'text': 'No discrimination of any form (incl. racism, sexism, homophobia, transphobia, xenophobia, casteism, ableism, etc.)', 'hint': ''}, {'id': '3', 'text': 'No incitement of violence or promotion of violent ideologies', 'hint': ''}, {'id': '4', 'text': 'No harassment, dogpiling or doxxing of other users', 'hint': ''}, {'id': '5', 'text': 'No content illegal in Iceland, Norway or the EU', 'hint': ''}, {'id': '6', 'text': 'Do not share intentionally false or misleading information', 'hint': ''}, {'id': '7', 'text': 'No promotion of Cryptocurrencies or NFTs', 'hint': ''}, {'id': '8', 'text': 'Follow the Terms of Use and Code of Conduct of Vivaldi.net', 'hint': ''}]",64393
11,5.5,mastodon.gamedev.place,Gamedev Mastodon,Mastodon server focused on game development and related topics.,5078,['en'],"[{'id': '1', 'text': 'Sexually explicit or violent media must be marked as sensitive when posting', 'hint': ''}, {'id': '2', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'hint': ''}, {'id': '3', 'text': 'No incitement of violence or promotion of violent ideologies', 'hint': ''}, {'id': '4', 'text': 'No harassment, dogpiling or doxxing of other users', 'hint': ''}, {'id': '5', 'text': 'No content illegal in EU', 'hint': ''}, {'id': '6', 'text': 'Do not share intentionally false or misleading information', 'hint': ''}]",33441
12,9.166666666666666,techhub.social,TechHub,"A hub primarily for passionate technologists, but everyone is welcome",5031,['en'],"[{'id': '6', 'text': 'Violent media must be marked as sensitive when posting.', 'hint': ''}, {'id': '7', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', 'hint': ''}, {'id': '8', 'text': 'No incitement of violence or promotion of violent ideologies.', 'hint': ''}, {'id': '9', 'text': 'No harassment, dogpiling or doxxing of other users.', 'hint': ''}, {'id': '10', 'text': 'No content illegal in Canada.', 'hint': ''}, {'id': '11', 'text': 'Do not share false or misleading information that may lead to physical harm.', 'hint': ''}, {'id': '13', 'text': 'No spam, no direct advertising selling products or services, no aggressive promotion. If you promote your website, blog, etc do it responsibly and use a description and tags.', 'hint': ''}, {'id': '14', 'text': 'Bots must be marked as Bot in their profile and bots created after Dec 31st 2024 must post in silent mode', 'hint': ''}, {'id': '15', 'text': 'Sexually explicit content is not allowed', 'hint': ''}, {'id': '16', 'text': 'Agree to Code of Conduct (see about section)', 'hint': ''}]",83099
14,6.0,social.tchncs.de,Mastodon,"A friendly server from Germany – which tends to attract techy people, but welcomes everybody. This is one of the oldest Mastodon instances.",3697,['en'],"[{'id': '1', 'text': 'Be nice to each other', 'hint': ''}, {'id': '2', 'text': 'Do not publish advertisements', 'hint': ''}, {'id': '3', 'text': 'Do not publish conspiracy myths', 'hint': ''}, {'id': '4', 'text': 'Do not publish content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism', 'hint': ''}, {'id': '5', 'text': 'Do not publish content promoting the ideology of National Socialism', 'hint': ''}, {'id': '6', 'text': 'Do not publish content that is hateful towards specific individuals or groups, or intended to cause or incite harm', 'hint': ''}, {'id': '7', 'text': 'Do not exclusively crosspost from other platforms', 'hint': ''}]",22825
